optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,rnn_type,num_layers,use_bidirectional,use_dropout,use_batch_norm,use_layer_norm,aggregation_method,hidden_size,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,1,0.73,50.0,50.09
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,2,0.7,50.19,50.09
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,3,0.7,50.0,50.09
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,4,0.7,49.72,50.09
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,5,0.69,49.72,50.09
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,6,0.69,49.72,50.09
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,7,0.69,49.44,50.09
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,8,0.69,49.72,50.09
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,9,0.69,49.44,50.09
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,10,0.69,49.53,50.09
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,1,0.72,50.09,49.44
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,2,0.7,50.0,49.44
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,3,0.7,49.91,49.44
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,4,0.69,50.0,49.44
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,5,0.69,50.0,49.44
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,6,0.69,49.81,49.44
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,7,0.69,50.09,49.44
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,8,0.69,50.0,49.44
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,9,0.69,50.19,49.44
Adam,0.01,0,0.0001,64,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,10,0.69,50.0,49.44
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,1,0.72,50.0,50.19
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,2,0.7,49.81,50.19
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,3,0.7,50.28,50.19
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,4,0.69,50.38,50.19
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,5,0.69,50.28,50.19
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,6,0.69,50.28,50.19
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,7,0.69,50.19,50.19
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,8,0.69,50.0,50.19
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,9,0.69,50.0,50.19
Adam,0.01,0,0.0001,128,10,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,10,0.69,49.81,50.19
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,1,0.73,50.0,49.72
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,2,0.71,50.09,49.72
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,3,0.7,50.28,49.72
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,True,none,100,glove.6B.100d.txt,4,0.7,50.56,49.72
