optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,rnn_type,num_layers,use_bidirectional,use_dropout,use_batch_norm,use_layer_norm,aggregation_method,hidden_size,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,1,0.62,65.38,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,2,0.46,75.8,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,3,0.32,74.11,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,4,0.17,76.45,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,5,0.14,76.92,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,6,0.13,75.89,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,7,0.11,77.2,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,8,0.11,76.92,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,9,0.11,76.92,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,10,0.11,77.02,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,11,0.11,76.64,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,12,0.1,76.55,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,13,0.11,77.11,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,14,0.11,77.11,78.14
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,64,2,False,unknown_token,100,glove.6B.100d.txt,15,0.11,77.11,78.14
