optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,num_filters,filter_sizes,dropout_rate,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,1,0.57,72.7,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,2,0.41,77.77,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,3,0.27,75.33,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,4,0.13,78.24,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,5,0.11,78.14,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,6,0.1,78.52,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,7,0.09,78.14,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,8,0.09,78.14,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,9,0.08,78.33,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,10,0.08,78.42,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,11,0.08,78.24,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,12,0.08,78.14,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,13,0.08,78.14,78.71
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.3,2,False,unknown_token,100,glove.6B.100d.txt,14,0.08,78.14,78.71
