optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,rnn_type,num_layers,use_bidirectional,use_dropout,use_batch_norm,use_layer_norm,aggregation_method,hidden_size,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,1,0.72,50.66,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,2,0.7,50.09,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,3,0.7,49.53,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,4,0.7,51.69,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,5,0.69,49.72,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,6,0.7,49.53,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,7,0.7,49.72,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,8,0.69,49.91,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,9,0.69,49.62,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,10,0.69,49.81,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,11,0.69,49.62,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,12,0.69,49.62,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,13,0.7,49.62,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,14,0.69,49.53,47.65
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,1,0.73,49.44,50.28
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,2,0.71,50.47,50.28
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,3,0.7,49.53,50.28
